ano,mes,estado,bioma,latitude,longitude,temperatura_media,precipitacao_mm,umidade_relativa,focos_queimadas,risco_queimadas
2012,1,Acre,Amazônia,-9.0,-70.5,29.3,179.2,83.2,53,Baixo
2012,1,Amapá,Amazônia,1.0,-52.0,28.4,176.0,72.6,40,Baixo
2012,1,Amazonas,Amazônia,-3.5,-65.0,30.9,187.6,85.1,239,Médio
2012,1,Bahia,Cerrado,-12.0,-41.0,29.2,170.0,84.7,180,Baixo
2012,1,Goiás,Cerrado,-16.0,-49.0,28.9,142.8,73.4,108,Baixo
2012,1,Maranhão,Cerrado,-5.0,-45.0,26.5,169.4,83.0,188,Baixo
2012,1,Mato Grosso,Cerrado,-13.0,-56.0,27.9,129.7,84.8,371,Médio
2012,1,Mato Grosso do Sul,Cerrado,-20.0,-54.0,27.0,177.4,81.9,111,Baixo
2012,1,Minas Gerais,Cerrado,-18.0,-44.0,27.7,219.0,79.9,91,Baixo
2012,1,Pará,Amazônia,-3.0,-52.0,27.9,192.9,77.7,300,Médio
2012,1,Pernambuco,Caatinga,-8.5,-37.5,29.1,174.3,76.6,41,Baixo
2012,1,Piauí,Cerrado,-7.5,-42.5,27.5,155.1,75.6,139,Baixo
2012,1,Rondônia,Amazônia,-11.0,-63.0,27.1,188.3,75.5,165,Baixo
2012,1,Roraima,Amazônia,2.0,-61.0,28.9,186.4,84.4,95,Baixo
2012,1,Tocantins,Cerrado,-10.0,-48.0,27.8,184.2,74.2,113,Baixo
2012,2,Acre,Amazônia,-9.0,-70.5,29.4,197.2,85.4,61,Baixo
2012,2,Amapá,Amazônia,1.0,-52.0,26.3,132.5,82.7,22,Baixo
2012,2,Amazonas,Amazônia,-3.5,-65.0,27.2,179.4,82.7,152,Baixo
2012,2,Bahia,Cerrado,-12.0,-41.0,28.2,192.7,88.4,159,Baixo
2012,2,Goiás,Cerrado,-16.0,-49.0,29.2,213.0,81.9,84,Baixo
2012,2,Maranhão,Cerrado,-5.0,-45.0,28.4,216.9,67.9,107,Baixo
2012,2,Mato Grosso,Cerrado,-13.0,-56.0,29.7,212.7,80.6,262,Médio
2012,2,Mato Grosso do Sul,Cerrado,-20.0,-54.0,29.9,192.2,78.4,100,Baixo
2012,2,Minas Gerais,Cerrado,-18.0,-44.0,27.7,181.4,78.9,81,Baixo
2012,2,Pará,Amazônia,-3.0,-52.0,29.9,182.0,78.9,243,Médio
2012,2,Pernambuco,Caatinga,-8.5,-37.5,29.1,166.7,88.0,61,Baixo
2012,2,Piauí,Cerrado,-7.5,-42.5,28.0,169.6,80.2,110,Baixo
2012,2,Rondônia,Amazônia,-11.0,-63.0,30.0,205.1,85.0,141,Baixo
2012,2,Roraima,Amazônia,2.0,-61.0,27.4,179.0,79.0,72,Baixo
2012,2,Tocantins,Cerrado,-10.0,-48.0,29.7,157.2,86.2,123,Baixo
2012,3,Acre,Amazônia,-9.0,-70.5,25.7,181.5,80.3,49,Baixo
2012,3,Amapá,Amazônia,1.0,-52.0,29.0,167.7,89.3,37,Baixo
2012,3,Amazonas,Amazônia,-3.5,-65.0,32.3,191.6,78.7,179,Baixo
2012,3,Bahia,Cerrado,-12.0,-41.0,29.3,194.4,79.2,186,Baixo
2012,3,Goiás,Cerrado,-16.0,-49.0,29.0,197.6,73.8,96,Baixo
2012,3,Maranhão,Cerrado,-5.0,-45.0,27.8,216.1,84.4,132,Baixo
2012,3,Mato Grosso,Cerrado,-13.0,-56.0,29.7,166.0,86.9,458,Médio
2012,3,Mato Grosso do Sul,Cerrado,-20.0,-54.0,26.8,209.3,92.7,86,Baixo
2012,3,Minas Gerais,Cerrado,-18.0,-44.0,27.4,175.6,84.1,151,Baixo
2012,3,Pará,Amazônia,-3.0,-52.0,28.5,158.6,85.7,286,Médio
2012,3,Pernambuco,Caatinga,-8.5,-37.5,30.3,165.6,84.8,65,Baixo
2012,3,Piauí,Cerrado,-7.5,-42.5,29.3,196.7,75.2,114,Baixo
2012,3,Rondônia,Amazônia,-11.0,-63.0,29.5,225.8,75.0,123,Baixo
2012,3,Roraima,Amazônia,2.0,-61.0,26.6,194.4,86.1,57,Baixo
2012,3,Tocantins,Cerrado,-10.0,-48.0,26.3,183.4,74.7,170,Baixo
2012,4,Acre,Amazônia,-9.0,-70.5,29.5,155.6,78.2,93,Baixo
2012,4,Amapá,Amazônia,1.0,-52.0,34.7,199.6,82.4,60,Baixo
2012,4,Amazonas,Amazônia,-3.5,-65.0,27.6,156.7,77.1,393,Médio
2012,4,Bahia,Cerrado,-12.0,-41.0,28.2,190.1,78.6,450,Médio
2012,4,Goiás,Cerrado,-16.0,-49.0,29.7,153.8,84.4,111,Baixo
2012,4,Maranhão,Cerrado,-5.0,-45.0,28.6,187.3,79.9,358,Médio
2012,4,Mato Grosso,Cerrado,-13.0,-56.0,28.5,227.4,80.6,553,Médio
2012,4,Mato Grosso do Sul,Cerrado,-20.0,-54.0,29.0,150.1,79.3,171,Baixo
2012,4,Minas Gerais,Cerrado,-18.0,-44.0,27.0,185.6,86.3,145,Baixo
2012,4,Pará,Amazônia,-3.0,-52.0,29.4,197.2,80.2,510,Médio
2012,4,Pernambuco,Caatinga,-8.5,-37.5,28.5,172.2,74.8,91,Baixo
2012,4,Piauí,Cerrado,-7.5,-42.5,28.4,188.2,73.6,213,Médio
2012,4,Rondônia,Amazônia,-11.0,-63.0,27.6,173.8,76.8,205,Médio
2012,4,Roraima,Amazônia,2.0,-61.0,29.7,183.3,80.1,135,Baixo
2012,4,Tocantins,Cerrado,-10.0,-48.0,28.8,164.0,81.4,213,Médio
2012,5,Acre,Amazônia,-9.0,-70.5,30.8,113.7,67.6,158,Baixo
2012,5,Amapá,Amazônia,1.0,-52.0,32.0,117.3,75.8,111,Baixo
2012,5,Amazonas,Amazônia,-3.5,-65.0,31.4,177.2,70.6,528,Médio
2012,5,Bahia,Cerrado,-12.0,-41.0,30.4,153.5,78.3,761,Médio
2012,5,Goiás,Cerrado,-16.0,-49.0,24.9,125.5,68.7,239,Médio
2012,5,Maranhão,Cerrado,-5.0,-45.0,31.1,130.6,78.3,451,Médio
2012,5,Mato Grosso,Cerrado,-13.0,-56.0,28.8,173.3,74.1,1639,Alto
2012,5,Mato Grosso do Sul,Cerrado,-20.0,-54.0,28.7,141.3,79.4,232,Médio
2012,5,Minas Gerais,Cerrado,-18.0,-44.0,27.5,136.3,76.3,271,Médio
2012,5,Pará,Amazônia,-3.0,-52.0,28.7,150.3,70.2,1044,Alto
2012,5,Pernambuco,Caatinga,-8.5,-37.5,30.0,159.2,77.9,174,Baixo
2012,5,Piauí,Cerrado,-7.5,-42.5,29.8,142.0,70.3,428,Médio
2012,5,Rondônia,Amazônia,-11.0,-63.0,26.8,149.7,66.7,491,Médio
2012,5,Roraima,Amazônia,2.0,-61.0,27.9,176.9,76.6,166,Baixo
2012,5,Tocantins,Cerrado,-10.0,-48.0,29.1,132.9,78.8,503,Médio
2012,6,Acre,Amazônia,-9.0,-70.5,29.7,105.7,55.4,380,Médio
2012,6,Amapá,Amazônia,1.0,-52.0,30.3,50.2,63.9,251,Médio
2012,6,Amazonas,Amazônia,-3.5,-65.0,32.0,79.5,54.0,1538,Alto
2012,6,Bahia,Cerrado,-12.0,-41.0,33.6,92.4,58.4,1333,Alto
2012,6,Goiás,Cerrado,-16.0,-49.0,34.7,116.1,49.0,587,Médio
2012,6,Maranhão,Cerrado,-5.0,-45.0,31.6,94.3,61.4,1014,Alto
2012,6,Mato Grosso,Cerrado,-13.0,-56.0,32.9,98.1,59.1,2216,Alto
2012,6,Mato Grosso do Sul,Cerrado,-20.0,-54.0,31.7,103.9,50.9,536,Médio
2012,6,Minas Gerais,Cerrado,-18.0,-44.0,31.1,86.6,51.9,971,Alto
2012,6,Pará,Amazônia,-3.0,-52.0,30.9,79.6,53.2,2280,Alto
2012,6,Pernambuco,Caatinga,-8.5,-37.5,30.8,83.3,56.0,425,Médio
2012,6,Piauí,Cerrado,-7.5,-42.5,30.4,85.6,57.1,873,Alto
2012,6,Rondônia,Amazônia,-11.0,-63.0,32.5,103.0,51.4,1207,Alto
2012,6,Roraima,Amazônia,2.0,-61.0,32.5,104.6,54.9,337,Médio
2012,6,Tocantins,Cerrado,-10.0,-48.0,30.7,123.1,52.8,1058,Alto
2012,7,Acre,Amazônia,-9.0,-70.5,33.3,24.6,27.8,807,Alto
2012,7,Amapá,Amazônia,1.0,-52.0,32.7,29.8,28.4,428,Médio
2012,7,Amazonas,Amazônia,-3.5,-65.0,31.9,6.7,41.8,1593,Alto
2012,7,Bahia,Cerrado,-12.0,-41.0,32.8,65.5,37.0,2659,Alto
2012,7,Goiás,Cerrado,-16.0,-49.0,32.7,8.0,24.4,892,Alto
2012,7,Maranhão,Cerrado,-5.0,-45.0,36.3,0.0,30.8,2283,Alto
2012,7,Mato Grosso,Cerrado,-13.0,-56.0,33.8,14.0,35.0,4170,Alto
2012,7,Mato Grosso do Sul,Cerrado,-20.0,-54.0,34.3,17.8,39.9,1093,Alto
2012,7,Minas Gerais,Cerrado,-18.0,-44.0,37.2,4.7,39.4,927,Alto
2012,7,Pará,Amazônia,-3.0,-52.0,34.5,49.5,39.3,2606,Alto
2012,7,Pernambuco,Caatinga,-8.5,-37.5,31.4,47.1,34.4,564,Médio
2012,7,Piauí,Cerrado,-7.5,-42.5,36.7,18.5,33.6,1613,Alto
2012,7,Rondônia,Amazônia,-11.0,-63.0,34.5,3.5,37.6,2171,Alto
2012,7,Roraima,Amazônia,2.0,-61.0,33.2,0.0,36.8,909,Alto
2012,7,Tocantins,Cerrado,-10.0,-48.0,34.3,20.3,35.5,1960,Alto
2012,8,Acre,Amazônia,-9.0,-70.5,37.1,0.0,24.7,994,Alto
2012,8,Amapá,Amazônia,1.0,-52.0,33.8,0.0,23.5,401,Médio
2012,8,Amazonas,Amazônia,-3.5,-65.0,35.2,0.0,22.7,2474,Alto
2012,8,Bahia,Cerrado,-12.0,-41.0,36.8,0.0,20.0,3548,Alto
2012,8,Goiás,Cerrado,-16.0,-49.0,35.1,0.0,27.0,915,Alto
2012,8,Maranhão,Cerrado,-5.0,-45.0,38.3,19.1,23.8,1751,Alto
2012,8,Mato Grosso,Cerrado,-13.0,-56.0,32.9,9.6,26.7,5162,Alto
2012,8,Mato Grosso do Sul,Cerrado,-20.0,-54.0,37.6,0.0,20.0,1193,Alto
2012,8,Minas Gerais,Cerrado,-18.0,-44.0,32.1,0.0,20.0,1790,Alto
2012,8,Pará,Amazônia,-3.0,-52.0,36.1,0.0,27.7,4500,Alto
2012,8,Pernambuco,Caatinga,-8.5,-37.5,34.0,0.0,24.0,655,Médio
2012,8,Piauí,Cerrado,-7.5,-42.5,33.7,0.0,22.3,1315,Alto
2012,8,Rondônia,Amazônia,-11.0,-63.0,34.1,0.0,32.8,2471,Alto
2012,8,Roraima,Amazônia,2.0,-61.0,33.2,0.0,26.8,742,Médio
2012,8,Tocantins,Cerrado,-10.0,-48.0,36.7,13.8,29.4,1519,Alto
2012,9,Acre,Amazônia,-9.0,-70.5,37.5,2.7,26.5,915,Alto
2012,9,Amapá,Amazônia,1.0,-52.0,33.6,0.0,27.0,300,Médio
2012,9,Amazonas,Amazônia,-3.5,-65.0,34.9,19.0,26.9,2685,Alto
2012,9,Bahia,Cerrado,-12.0,-41.0,33.0,6.4,34.6,2899,Alto
2012,9,Goiás,Cerrado,-16.0,-49.0,33.3,0.0,34.6,854,Alto
2012,9,Maranhão,Cerrado,-5.0,-45.0,36.3,32.5,20.0,1739,Alto
2012,9,Mato Grosso,Cerrado,-13.0,-56.0,31.1,0.0,20.0,5369,Alto
2012,9,Mato Grosso do Sul,Cerrado,-20.0,-54.0,33.3,0.0,37.9,871,Alto
2012,9,Minas Gerais,Cerrado,-18.0,-44.0,34.6,31.6,30.4,1475,Alto
2012,9,Pará,Amazônia,-3.0,-52.0,33.8,0.0,28.6,4005,Alto
2012,9,Pernambuco,Caatinga,-8.5,-37.5,34.2,0.0,27.1,525,Médio
2012,9,Piauí,Cerrado,-7.5,-42.5,33.3,0.0,33.4,1928,Alto
2012,9,Rondônia,Amazônia,-11.0,-63.0,35.5,8.2,45.4,1429,Alto
2012,9,Roraima,Amazônia,2.0,-61.0,37.5,2.6,30.6,708,Médio
2012,9,Tocantins,Cerrado,-10.0,-48.0,33.5,0.0,26.8,1299,Alto
2012,10,Acre,Amazônia,-9.0,-70.5,33.9,66.6,46.0,562,Médio
2012,10,Amapá,Amazônia,1.0,-52.0,35.9,50.6,49.7,323,Médio
2012,10,Amazonas,Amazônia,-3.5,-65.0,30.3,66.9,41.7,1520,Alto
2012,10,Bahia,Cerrado,-12.0,-41.0,29.1,40.1,47.9,2281,Alto
2012,10,Goiás,Cerrado,-16.0,-49.0,33.2,44.1,47.9,542,Médio
2012,10,Maranhão,Cerrado,-5.0,-45.0,31.5,48.3,50.0,1275,Alto
2012,10,Mato Grosso,Cerrado,-13.0,-56.0,33.2,37.9,48.2,2694,Alto
2012,10,Mato Grosso do Sul,Cerrado,-20.0,-54.0,32.9,52.9,50.8,639,Médio
2012,10,Minas Gerais,Cerrado,-18.0,-44.0,32.5,59.4,45.4,824,Alto
2012,10,Pará,Amazônia,-3.0,-52.0,33.7,61.6,31.3,2299,Alto
2012,10,Pernambuco,Caatinga,-8.5,-37.5,32.3,24.4,45.1,590,Médio
2012,10,Piauí,Cerrado,-7.5,-42.5,29.7,35.8,35.6,1249,Alto
2012,10,Rondônia,Amazônia,-11.0,-63.0,30.3,111.7,36.9,994,Alto
2012,10,Roraima,Amazônia,2.0,-61.0,33.4,47.6,46.4,560,Médio
2012,10,Tocantins,Cerrado,-10.0,-48.0,31.9,78.1,48.9,1294,Alto
2012,11,Acre,Amazônia,-9.0,-70.5,31.0,101.8,71.2,157,Baixo
2012,11,Amapá,Amazônia,1.0,-52.0,30.0,160.5,72.4,114,Baixo
2012,11,Amazonas,Amazônia,-3.5,-65.0,31.0,149.3,72.8,574,Médio
2012,11,Bahia,Cerrado,-12.0,-41.0,30.4,165.3,74.9,774,Médio
2012,11,Goiás,Cerrado,-16.0,-49.0,30.8,144.9,71.4,255,Médio
2012,11,Maranhão,Cerrado,-5.0,-45.0,29.1,139.0,74.1,669,Médio
2012,11,Mato Grosso,Cerrado,-13.0,-56.0,33.2,136.3,72.0,1130,Alto
2012,11,Mato Grosso do Sul,Cerrado,-20.0,-54.0,27.9,149.4,74.2,287,Médio
2012,11,Minas Gerais,Cerrado,-18.0,-44.0,30.4,183.5,66.1,309,Médio
2012,11,Pará,Amazônia,-3.0,-52.0,30.3,137.7,73.2,1261,Alto
2012,11,Pernambuco,Caatinga,-8.5,-37.5,32.2,135.8,65.1,230,Médio
2012,11,Piauí,Cerrado,-7.5,-42.5,30.1,151.0,64.3,434,Médio
2012,11,Rondônia,Amazônia,-11.0,-63.0,31.0,128.9,70.4,590,Médio
2012,11,Roraima,Amazônia,2.0,-61.0,28.1,141.9,70.2,280,Médio
2012,11,Tocantins,Cerrado,-10.0,-48.0,29.4,126.4,67.8,384,Médio
2012,12,Acre,Amazônia,-9.0,-70.5,28.7,223.8,80.1,95,Baixo
2012,12,Amapá,Amazônia,1.0,-52.0,28.3,170.0,80.1,43,Baixo
2012,12,Amazonas,Amazônia,-3.5,-65.0,28.7,164.5,72.4,325,Médio
2012,12,Bahia,Cerrado,-12.0,-41.0,28.5,150.9,90.4,264,Médio
2012,12,Goiás,Cerrado,-16.0,-49.0,28.1,200.8,64.2,122,Baixo
2012,12,Maranhão,Cerrado,-5.0,-45.0,28.6,186.9,86.7,198,Baixo
2012,12,Mato Grosso,Cerrado,-13.0,-56.0,28.4,206.4,76.2,500,Médio
2012,12,Mato Grosso do Sul,Cerrado,-20.0,-54.0,28.0,162.1,77.3,158,Baixo
2012,12,Minas Gerais,Cerrado,-18.0,-44.0,29.0,157.3,80.9,236,Médio
2012,12,Pará,Amazônia,-3.0,-52.0,26.4,168.4,80.6,463,Médio
2012,12,Pernambuco,Caatinga,-8.5,-37.5,30.8,158.9,73.9,98,Baixo
2012,12,Piauí,Cerrado,-7.5,-42.5,27.2,208.0,82.2,146,Baixo
2012,12,Rondônia,Amazônia,-11.0,-63.0,26.6,172.9,70.9,242,Médio
2012,12,Roraima,Amazônia,2.0,-61.0,30.8,131.5,75.8,139,Baixo
2012,12,Tocantins,Cerrado,-10.0,-48.0,30.6,152.7,80.1,292,Médio
2013,1,Acre,Amazônia,-9.0,-70.5,27.8,191.8,73.9,48,Baixo
2013,1,Amapá,Amazônia,1.0,-52.0,30.1,191.5,81.3,33,Baixo
2013,1,Amazonas,Amazônia,-3.5,-65.0,29.7,198.3,75.3,242,Médio
2013,1,Bahia,Cerrado,-12.0,-41.0,28.5,201.4,79.8,264,Médio
2013,1,Goiás,Cerrado,-16.0,-49.0,28.6,189.0,77.3,56,Baixo
2013,1,Maranhão,Cerrado,-5.0,-45.0,26.5,197.1,72.9,166,Baixo
2013,1,Mato Grosso,Cerrado,-13.0,-56.0,29.5,148.6,88.8,494,Médio
2013,1,Mato Grosso do Sul,Cerrado,-20.0,-54.0,26.0,169.5,77.9,115,Baixo
2013,1,Minas Gerais,Cerrado,-18.0,-44.0,28.1,180.9,81.5,129,Baixo
2013,1,Pará,Amazônia,-3.0,-52.0,28.1,205.2,74.6,280,Médio
2013,1,Pernambuco,Caatinga,-8.5,-37.5,25.8,156.4,76.9,44,Baixo
2013,1,Piauí,Cerrado,-7.5,-42.5,30.1,161.9,82.6,159,Baixo
2013,1,Rondônia,Amazônia,-11.0,-63.0,27.8,203.0,76.5,168,Baixo
2013,1,Roraima,Amazônia,2.0,-61.0,27.4,149.4,82.8,74,Baixo
2013,1,Tocantins,Cerrado,-10.0,-48.0,25.5,215.9,81.1,166,Baixo
2013,2,Acre,Amazônia,-9.0,-70.5,28.5,178.6,82.0,54,Baixo
2013,2,Amapá,Amazônia,1.0,-52.0,29.2,155.1,80.7,33,Baixo
2013,2,Amazonas,Amazônia,-3.5,-65.0,27.6,157.5,76.4,181,Baixo
2013,2,Bahia,Cerrado,-12.0,-41.0,27.5,221.8,84.5,211,Médio
2013,2,Goiás,Cerrado,-16.0,-49.0,29.4,206.9,81.6,72,Baixo
2013,2,Maranhão,Cerrado,-5.0,-45.0,32.3,183.7,86.7,107,Baixo
2013,2,Mato Grosso,Cerrado,-13.0,-56.0,29.2,189.3,76.7,229,Médio
2013,2,Mato Grosso do Sul,Cerrado,-20.0,-54.0,27.4,180.6,80.6,62,Baixo
2013,2,Minas Gerais,Cerrado,-18.0,-44.0,27.6,163.8,85.6,101,Baixo
2013,2,Pará,Amazônia,-3.0,-52.0,26.5,197.1,72.2,252,Médio
2013,2,Pernambuco,Caatinga,-8.5,-37.5,26.6,194.5,79.9,57,Baixo
2013,2,Piauí,Cerrado,-7.5,-42.5,29.1,189.8,82.4,127,Baixo
